programming:VariableDeclaration;NOUN_PHRASES_AMOUNT;FLESCH_KINCAID_GRADE;VIDEOID;VIDEO_AVERAGE_COLORFULNESS;VIDEO_AVERAGE_BRIGHTNESS;VIDEO_SIZE;PHRASES_AMOUNT;VIDEO_DIFFICULT_WORDS;programming:Array;VIDEO_AVERAGE_LIGHT_EXPOSURE;SPEECH_DISPLAY_WORDS_RATIO;FLESCH_READING_EASE;VIDEO_WORDS_COUNT;VIDEO_ASPECT_RATIO;VIDEO_DOMINANT_COLOR;programming:Interface;AUTOMATED_READABILITY_INDEX;WORD_AMOUNT;FLESCH_KINCAID_VIDEO_GRADE;UNCOMMON WORDS RATIO;programming:Inheritance;VIDEO_DURATION;programming:Encapsulation;programming:WhileLoop;UNCOMMON WORDS AMOUNT;programming:If;WORDS_PER_MINUTE_WHOLE_VIDEO;VIDEO_AVERAGE_HUE;EASY_VIDEO_READ;programming:ForLoop;programming:Object;VIDEO_PHRASES_COUNT;WORDS_PER_MINUTE;VIDEO_NOUN_PHRASES;programming:ExceptionHandling;programming:Polymorphism;WORDS_PER_MINUTE_WHOLE;AUTOMATED_VIDEO_READABILITY_INDEX;DIFFICULT_WORDS_AMOUNT;VIDEO_AVERAGE_SATURATION;programming:Class;score
0.0;81.0;7.5;3248;20.606;1.0;1500.0;51.0;49.0;0.0;228.595;0.211;65.83;150.0;1.778;1585.586;0.0;8.9;710.0;9.0;0.359;1.0;4.783;0.0;0.0;255.0;0.0;31.259;112.55;51.34;0.0;1.0;13.0;153.464;44.0;0.0;0.0;147.124;14.2;110.0;19.0;0.0;easy
0.0;73.0;6.3;4274;15.843;1.0;1500.0;89.0;54.0;0.0;131.019;0.141;79.7;211.0;1.778;1677.722;0.0;6.8;1500.0;12.0;0.257;0.0;7.85;0.0;0.0;385.0;1.0;26.869;11.877;38.11;0.0;0.0;13.0;189.642;55.0;0.0;0.0;187.954;13.1;103.0;15.256;0.0;easy
0.0;41.0;7.4;3252;18.041;1.0;1500.0;28.0;64.0;0.0;228.523;0.405;66.23;153.0;1.778;1585.586;0.0;9.2;378.0;11.8;0.423;0.0;2.633;1.0;0.0;160.0;0.0;58.017;117.25;49.25;0.0;0.0;7.0;150.398;45.0;0.0;0.0;141.44;17.4;91.0;19.304;0.0;easy
0.0;79.0;8.0;3254;31.066;1.0;1500.0;62.0;29.0;0.0;230.102;0.099;64.61;92.0;1.778;1598.745;1.0;8.7;934.0;15.2;0.298;0.0;6.25;0.0;0.0;278.0;0.0;14.683;116.45;13.65;0.0;0.0;6.0;157.135;50.0;0.0;0.0;148.747;26.8;130.0;23.104;1.0;easy
0.0;57.0;8.0;5303;25.726;0.996;1500.0;67.0;51.0;0.0;233.93;0.207;64.61;209.0;1.778;1677.722;0.0;9.3;1010.0;9.2;0.294;0.0;7.433;1.0;0.0;297.0;1.0;28.081;11.693;45.32;0.0;0.0;23.0;142.696;109.0;0.0;0.0;135.567;20.6;153.0;12.672;0.0;easy
0.0;13.0;8.5;3257;23.223;1.0;1500.0;11.0;13.0;0.0;227.587;0.178;63.29;32.0;1.778;1585.586;1.0;9.5;180.0;13.1;0.322;1.0;1.117;0.0;0.0;58.0;0.0;28.335;116.319;29.86;0.0;0.0;2.0;170.301;13.0;0.0;0.0;159.386;20.6;31.0;22.615;1.0;easy
0.0;132.0;13.1;5308;18.855;0.999;1500.0;67.0;29.0;0.0;245.356;0.08;51.31;152.0;1.778;1677.722;0.0;13.3;1892.0;5.1;0.242;0.0;12.217;0.0;0.0;457.0;1.0;12.431;16.301;82.85;0.0;0.0;11.0;155.157;47.0;0.0;0.0;155.467;10.9;150.0;7.671;0.0;easy
0.0;83.0;8.0;4294;21.249;1.0;1500.0;48.0;120.0;0.0;89.493;0.473;80.85;546.0;1.778;0.0;0.0;9.9;1155.0;13.0;0.263;0.0;6.467;0.0;0.0;304.0;1.0;84.27;25.708;40.89;0.0;0.0;25.0;177.334;174.0;0.0;0.0;178.727;18.4;89.0;40.47;0.0;easy
0.0;97.0;8.6;4295;15.469;1.0;1500.0;65.0;34.0;0.0;175.875;0.094;73.92;138.0;1.778;1677.722;0.0;9.3;1472.0;29.0;0.262;0.0;8.0;0.0;0.0;386.0;0.0;17.215;9.58;9.9;0.0;0.0;2.0;183.847;31.0;0.0;1.0;186.868;38.3;102.0;13.049;0.0;intermediate
1.0;113.0;10.0;5320;17.228;0.998;1500.0;52.0;20.0;0.0;243.463;0.062;64.85;75.0;1.778;1677.722;0.0;11.8;1208.0;8.2;0.31;0.0;9.8;0.0;0.0;374.0;0.0;7.646;16.344;58.79;1.0;0.0;6.0;138.287;28.0;0.0;0.0;123.77;12.9;94.0;6.208;0.0;easy
1.0;116.0;6.4;5322;17.173;0.999;1500.0;118.0;52.0;0.0;244.386;0.1;74.19;165.0;1.778;1677.722;0.0;6.9;1653.0;7.9;0.344;0.0;15.4;0.0;0.0;568.0;0.0;10.704;17.979;59.5;1.0;0.0;14.0;121.681;51.0;0.0;0.0;107.106;14.2;135.0;6.197;0.0;intermediate
0.0;94.0;6.9;4300;21.369;1.0;1500.0;88.0;39.0;0.0;88.912;0.11;72.76;148.0;1.778;0.0;0.0;6.5;1351.0;24.9;0.298;0.0;7.783;0.0;0.0;402.0;0.0;19.009;24.199;4.52;0.0;0.0;3.0;173.541;51.0;1.0;0.0;173.652;33.5;126.0;41.042;0.0;intermediate
0.0;113.0;5.8;4306;20.881;1.0;1500.0;92.0;23.0;0.0;109.458;0.065;81.22;92.0;1.778;0.0;0.0;5.7;1421.0;18.8;0.341;0.0;7.95;0.0;0.0;485.0;0.0;11.568;29.97;14.93;0.0;0.0;3.0;178.318;29.0;0.0;1.0;178.675;22.9;106.0;48.218;0.0;difficult
0.0;43.0;5.4;3286;25.337;1.0;1500.0;41.0;18.0;0.0;233.678;0.068;82.24;40.0;1.778;1585.586;0.0;6.1;589.0;13.1;0.241;0.0;3.633;1.0;0.0;142.0;0.0;10.971;104.208;19.03;0.0;0.0;4.0;172.614;22.0;0.0;0.0;161.273;22.1;63.0;20.955;0.0;easy
0.0;146.0;9.8;1257;10.695;1.0;1500.0;91.0;21.0;0.0;247.173;0.049;65.25;101.0;1.778;1677.722;0.0;11.0;2076.0;13.2;0.302;0.0;11.35;0.0;0.0;626.0;0.0;8.891;13.747;45.8;0.0;0.0;4.0;183.886;22.0;0.0;1.0;182.4;15.2;226.0;4.176;0.0;easy
0.0;41.0;5.0;761;14.262;1.0;1500.0;44.0;40.0;0.0;236.954;0.446;83.15;265.0;1.778;1677.722;0.0;5.5;594.0;10.3;0.305;0.0;5.983;0.0;0.0;181.0;0.0;44.218;10.1;63.93;0.0;0.0;11.0;121.894;94.0;0.0;0.0;99.282;14.1;76.0;7.354;1.0;difficult
0.0;3.0;9.7;3843;31.446;1.0;1404.0;9.0;3.0;0.0;112.514;0.052;71.07;12.0;1.6;0.0;0.0;11.2;229.0;4.4;0.279;0.0;1.133;0.0;0.0;64.0;0.0;10.577;41.003;84.68;0.0;1.0;1.0;189.586;3.0;0.0;0.0;57.294;9.7;26.0;75.269;0.0;intermediate
0.0;89.0;9.4;3844;41.365;0.998;1500.0;61.0;33.0;0.0;167.742;0.114;66.37;150.0;1.778;1658.009;0.0;10.1;1321.0;16.7;0.273;0.0;6.983;0.0;0.0;361.0;0.0;21.444;30.974;41.87;0.0;1.0;4.0;194.936;53.0;1.0;0.0;27.163;26.4;108.0;30.479;0.0;difficult
1.0;67.0;8.0;3845;41.824;1.0;1404.0;71.0;38.0;0.0;184.997;0.12;70.02;154.0;1.6;1664.563;0.0;8.4;1284.0;15.3;0.238;0.0;7.117;0.0;0.0;305.0;0.0;21.596;29.429;40.21;0.0;0.0;5.0;187.864;42.0;0.0;0.0;39.406;22.2;121.0;31.369;0.0;intermediate
0.0;44.0;6.6;3350;6.966;1.0;1500.0;61.0;21.0;0.0;241.027;0.097;73.58;87.0;1.778;1677.722;0.0;7.1;893.0;4.2;0.254;0.0;6.133;0.0;0.0;227.0;1.0;14.184;7.591;90.6;0.0;0.0;6.0;149.086;29.0;0.0;0.0;145.594;13.6;94.0;2.304;0.0;easy
0.0;40.0;4.8;791;13.779;1.0;1500.0;49.0;44.0;0.0;242.894;0.445;78.35;215.0;1.778;1677.722;0.0;5.1;483.0;11.0;0.404;1.0;5.933;0.0;0.0;195.0;0.0;36.152;11.511;35.13;0.0;0.0;20.0;100.513;76.0;0.0;0.0;81.215;13.7;76.0;7.001;0.0;easy
0.0;101.0;8.5;4380;24.073;1.0;1500.0;94.0;64.0;0.0;190.615;0.104;68.6;190.0;1.778;1677.722;0.0;9.5;1830.0;11.5;0.281;0.0;10.117;1.0;0.0;515.0;0.0;18.755;13.656;50.06;0.0;0.0;9.0;180.422;58.0;0.0;0.0;180.439;17.6;175.0;14.391;0.0;intermediate
0.0;87.0;5.8;3364;9.634;1.0;1500.0;133.0;32.0;0.0;238.516;0.085;81.02;177.0;1.778;1677.722;0.0;5.4;2081.0;3.6;0.279;0.0;14.4;0.0;0.0;581.0;0.0;12.285;10.674;81.49;1.0;0.0;26.0;148.033;75.0;0.0;0.0;144.711;8.7;143.0;3.241;0.0;difficult
0.0;175.0;9.1;810;16.872;1.0;1500.0;103.0;91.0;0.0;203.8;0.682;61.67;1265.0;1.778;1677.722;0.0;9.9;1854.0;19.1;0.352;0.0;18.233;1.0;0.0;652.0;0.0;69.366;23.206;35.68;0.0;0.0;29.0;105.765;397.0;0.0;0.0;101.226;25.9;300.0;19.212;0.0;easy
0.0;117.0;8.3;4400;22.122;1.0;1500.0;79.0;32.0;0.0;191.215;0.076;69.11;115.0;1.778;1677.722;0.0;9.1;1504.0;9.6;0.281;1.0;8.65;0.0;0.0;423.0;0.0;13.28;7.739;60.45;0.0;0.0;6.0;173.023;30.0;0.0;0.0;172.989;14.2;153.0;13.017;0.0;easy
0.0;130.0;6.8;2356;22.428;0.998;1500.0;113.0;144.0;0.0;222.14;0.316;73.17;536.0;1.778;1677.722;0.0;7.6;1697.0;9.2;0.256;0.0;8.983;0.0;0.0;435.0;0.0;59.577;20.19;45.32;0.0;1.0;59.0;205.4;220.0;0.0;0.0;188.288;15.6;206.0;22.326;0.0;intermediate
0.0;22.0;6.4;5430;43.936;1.0;1500.0;36.0;39.0;0.0;168.162;0.693;74.08;352.0;1.778;1447.446;0.0;7.0;508.0;1.8;0.254;0.0;3.7;0.0;0.0;129.0;1.0;95.024;39.128;96.79;0.0;0.0;42.0;192.383;145.0;0.0;0.0;137.137;6.2;74.0;57.208;0.0;intermediate
0.0;68.0;4.9;3897;27.314;1.0;1404.0;65.0;17.0;0.0;69.474;0.066;83.56;56.0;1.6;0.0;0.0;6.1;854.0;6.9;0.328;0.0;4.667;0.0;0.0;280.0;0.0;11.982;59.55;62.04;0.0;0.0;6.0;191.154;21.0;1.0;0.0;185.086;11.1;70.0;48.675;0.0;intermediate
0.0;44.0;8.7;3914;40.863;0.995;1404.0;28.0;35.0;0.0;176.755;0.223;62.68;106.0;1.6;1658.009;0.0;10.0;475.0;9.7;0.356;1.0;3.117;0.0;0.0;169.0;0.0;33.898;30.943;49.52;0.0;0.0;8.0;156.809;44.0;0.0;0.0;151.903;20.0;74.0;34.762;0.0;intermediate
0.0;99.0;9.9;4433;8.973;1.0;1500.0;76.0;19.0;0.0;189.489;0.029;64.95;51.0;1.778;1664.563;0.0;11.9;1756.0;14.4;0.276;0.0;10.183;1.0;0.0;484.0;0.0;5.001;6.292;37.13;0.0;0.0;2.0;173.062;10.0;0.0;0.0;171.619;20.1;230.0;4.063;0.0;difficult
0.0;44.0;11.2;5433;43.114;0.996;1500.0;24.0;35.0;0.0;147.933;0.251;56.29;140.0;1.778;1677.722;0.0;12.3;558.0;3.7;0.26;0.0;3.733;1.0;0.0;145.0;0.0;37.416;38.488;86.71;0.0;0.0;14.0;182.197;31.0;0.0;0.0;148.864;8.2;100.0;98.301;0.0;easy
1.0;26.0;6.9;5483;15.493;1.0;1500.0;27.0;10.0;0.0;225.544;0.706;72.76;293.0;1.778;1592.165;0.0;6.2;415.0;-0.8;0.349;0.0;2.767;0.0;0.0;145.0;0.0;105.833;101.199;124.95;0.0;1.0;21.0;153.127;81.0;0.0;0.0;151.345;2.7;64.0;15.432;0.0;easy
0.0;126.0;9.4;1261;13.77;1.0;1500.0;61.0;41.0;0.0;249.134;0.132;71.78;198.0;1.778;1677.722;0.0;10.8;1505.0;16.4;0.292;1.0;8.183;0.0;0.0;440.0;0.0;24.161;15.067;48.2;0.0;0.0;5.0;184.065;52.0;0.0;0.0;183.035;22.7;121.0;4.763;1.0;easy
1.0;155.0;4.7;5544;18.739;1.0;1500.0;116.0;55.0;0.0;233.965;0.169;84.07;247.0;1.778;1585.586;0.0;5.3;1460.0;6.7;0.32;0.0;9.467;0.0;1.0;467.0;0.0;26.055;115.595;67.96;1.0;0.0;21.0;163.847;84.0;0.0;0.0;153.167;11.5;153.0;16.257;0.0;easy
1.0;16.0;6.5;2479;68.497;1.0;1500.0;24.0;26.0;0.0;127.03;0.402;73.88;138.0;1.778;20.515;0.0;6.8;343.0;9.9;0.251;0.0;2.817;0.0;0.0;86.0;0.0;48.827;101.381;32.76;0.0;0.0;29.0;127.532;83.0;0.0;0.0;120.651;28.0;46.0;212.046;0.0;easy
0.0;64.0;6.7;5554;23.656;1.0;1500.0;60.0;54.0;0.0;227.439;0.231;73.47;204.0;1.778;1585.586;0.0;7.1;882.0;9.9;0.311;0.0;5.867;0.0;0.0;274.0;0.0;34.762;116.571;54.22;1.0;0.0;12.0;173.948;58.0;0.0;0.0;150.294;16.9;113.0;20.488;0.0;easy
0.0;193.0;8.8;4027;13.417;1.0;1500.0;147.0;64.0;0.0;241.009;0.151;67.89;448.0;1.778;1677.722;0.0;9.2;2968.0;6.5;0.301;1.0;20.133;0.0;0.0;893.0;0.0;22.236;6.127;68.57;0.0;0.0;40.0;145.57;196.0;0.0;0.0;145.281;11.0;271.0;5.707;0.0;easy
0.0;125.0;8.1;5568;16.377;1.0;1500.0;76.0;134.0;0.0;219.587;0.393;64.3;459.0;1.778;1585.586;0.0;9.0;1167.0;11.6;0.289;0.0;7.467;0.0;0.0;337.0;0.0;61.394;119.049;44.34;0.0;0.0;25.0;164.022;132.0;0.0;0.0;156.093;19.2;160.0;17.102;1.0;intermediate
0.0;73.0;12.6;5318;15.476;0.998;1500.0;54.0;35.0;1.0;244.539;0.082;52.63;120.0;1.778;1677.722;0.0;12.5;1455.0;9.9;0.236;0.0;9.05;0.0;0.0;343.0;0.0;13.248;15.461;59.64;0.0;0.0;6.0;176.991;50.0;0.0;0.0;159.865;19.6;158.0;5.57;0.0;intermediate
0.0;14.0;8.3;5624;17.181;0.985;1500.0;16.0;24.0;0.0;183.936;0.25;69.31;75.0;1.778;1572.453;0.0;9.6;300.0;8.6;0.267;0.0;2.2;0.0;0.0;80.0;1.0;33.988;35.562;52.15;0.0;0.0;7.0;135.963;31.0;0.0;0.0;135.952;17.8;47.0;20.833;0.0;difficult
